date	time	group	subject	build	blocknum	trialnum	blockcode	trialcode	pretrialpause	posttrialpause	windowcenter	trialduration	trialtimeout	blocktimeout	response	correct	latency	inwindow	stimulusnumber1	stimulusitem1	stimulusvpos1	stimulushpos1	stimulusonset1	stimulusnumber2	stimulusitem2	stimulusvpos2	stimulushpos2	stimulusonset2	stimulusnumber3	stimulusitem3	stimulusvpos3	stimulushpos3	stimulusonset3	stimulusnumber4	stimulusitem4	stimulusvpos4	stimulushpos4	stimulusonset4	stimulusnumber5	stimulusitem5	stimulusvpos5	stimulushpos5	stimulusonset5	stimulusnumber6	stimulusitem6	stimulusvpos6	stimulushpos6	stimulusonset6
011218	10:25:14	1	4	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_1d_Good_1_L	750	0	0	6500	0	0	0	0	2750	0	1	MORAG	50pct	30pct	491	3	JOY	60pct	70pct	491	3	VOMIT	40pct	70pct	491	1	MORAG	50pct	30pct	2991	3	JOY	60pct	70pct	2991	3	VOMIT	40pct	70pct	2991
011218	10:25:14	1	4	4.0.10.0	2	2	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_1c_Good_1_H	750	0	0	6500	0	0	Ctrl+'Q'	1	804	0	1	MORAG	50pct	30pct	491	3	JOY	40pct	70pct	491	3	VOMIT	60pct	70pct	491	1	MORAG	50pct	30pct	2991	3	JOY	40pct	70pct	2991	3	VOMIT	60pct	70pct	2991
011418	16:11:22	1	1	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2a_Bad_1_H	750	0	0	6500	0	0	Ctrl+'Q'	1	1273	0	1	STRUAN	50pct	30pct	491	3	SMILE	40pct	70pct	491	2	CANCER	60pct	70pct	491	1	STRUAN	50pct	30pct	2991	3	SMILE	40pct	70pct	2991	2	CANCER	60pct	70pct	2991
011418	16:16:34	1	1	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2d_Bad_1_L	750	0	0	6500	0	0	0	0	2750	0	1	STRUAN	50pct	30pct	491	2	PLEASURE	60pct	70pct	491	2	CANCER	40pct	70pct	491	1	STRUAN	50pct	30pct	2991	2	PLEASURE	60pct	70pct	2991	2	CANCER	40pct	70pct	2991
011418	16:16:34	1	1	4.0.10.0	2	2	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2a_Bad_2_H	750	0	0	6500	0	0	Ctrl+'Q'	1	592	0	1	STRUAN	50pct	30pct	491	3	SMILE	40pct	70pct	491	2	CANCER	60pct	70pct	491	1	STRUAN	50pct	30pct	2991	3	SMILE	40pct	70pct	2991	2	CANCER	60pct	70pct	2991
021218	11:05:33	1	1	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_1b_Good_1_L	750	0	0	6500	0	0	0	0	2750	0	1	MORAG	50pct	30pct	491	3	JOY	60pct	70pct	491	3	VOMIT	40pct	70pct	491	1	MORAG	50pct	30pct	2991	3	JOY	60pct	70pct	2991	3	VOMIT	40pct	70pct	2991
021218	11:05:33	1	1	4.0.10.0	2	2	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2b_Bad_1_L	750	0	0	6500	0	0	0	0	2750	0	1	STRUAN	50pct	30pct	491	2	PLEASURE	60pct	70pct	491	3	HATE	40pct	70pct	491	1	STRUAN	50pct	30pct	2991	2	PLEASURE	60pct	70pct	2991	3	HATE	40pct	70pct	2991
021218	11:05:33	1	1	4.0.10.0	2	3	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_1a_Good_1_H	750	0	0	6500	0	0	0	0	2750	0	1	MORAG	50pct	30pct	491	2	PARADISE	40pct	70pct	491	3	VOMIT	60pct	70pct	491	1	MORAG	50pct	30pct	2991	2	PARADISE	40pct	70pct	2991	3	VOMIT	60pct	70pct	2991
021218	11:05:33	1	1	4.0.10.0	2	4	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2a_Bad_2_H	750	0	0	6500	0	0	0	0	2750	0	1	STRUAN	50pct	30pct	491	2	PLEASURE	40pct	70pct	491	2	CANCER	60pct	70pct	491	1	STRUAN	50pct	30pct	2991	2	PLEASURE	40pct	70pct	2991	2	CANCER	60pct	70pct	2991
021218	11:05:33	1	1	4.0.10.0	2	5	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2c_Bad_1_H	750	0	0	6500	0	0	0	0	2750	0	1	STRUAN	50pct	30pct	491	2	PLEASURE	40pct	70pct	491	2	CANCER	60pct	70pct	491	1	STRUAN	50pct	30pct	2991	2	PLEASURE	40pct	70pct	2991	2	CANCER	60pct	70pct	2991
021218	11:05:33	1	1	4.0.10.0	2	6	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_1d_Good_1_L	750	0	0	6500	0	0	Ctrl+'Q'	1	1185	0	1	MORAG	50pct	30pct	491	2	PARADISE	60pct	70pct	491	3	VOMIT	40pct	70pct	491	1	MORAG	50pct	30pct	2991	2	PARADISE	60pct	70pct	2991	3	VOMIT	40pct	70pct	2991
021218	11:06:34	1	1	4.0.10.0	2	1	EC_Training_stimulus_1_Good_stimulus_2_Bad_Block_1	EC_Training_Trial_stimulus_2d_Bad_1_L	750	0	0	6500	0	0	Ctrl+'Q'	1	2295	0	1	STRUAN	50pct	30pct	491	3	SMILE	60pct	70pct	491	2	CANCER	40pct	70pct	491	1	STRUAN	50pct	30pct	2991	3	SMILE	60pct	70pct	2991	2	CANCER	40pct	70pct	2991
